artist,listeners,chart_weeks,total_streams,best_position,log_listeners,log_chart_weeks,log_total_streams
Jin,795007,17.0,344112013.0,2.0,5.900370952616205,1.2304489213782739,8.536699834168573
Lola Young,1152073,16.0,353314600.0,8.0,6.06147999861213,1.2041199826559248,8.54816158413291
Don Omar,1780202,26.0,250188644.0,80.0,6.250469284616718,1.414973347970818,8.398267593286807
Jack Harlow,1821134,10.0,263017773.0,4.0,6.260341902587614,1.0,8.419985096227519
NLE Choppa,1460495,3.0,37849726.0,22.0,6.164500074506332,0.47712125471966244,7.578062739922783
The Lumineers,2552448,1.0,10870508.0,82.0,6.406956903141672,0.0,7.036249839987094
V,906065,29.0,402601181.0,31.0,5.957159354551799,1.462397997898956,8.604875044524396
Lauv,1735659,1.0,11279309.0,99.0,6.2394644046162675,0.0,7.052282494445268
Ashnikko,1437241,1.0,9174378.0,192.0,6.157529597775431,0.0,6.962576629836972
Keane,3997883,36.0,346939855.0,80.0,6.601830080127796,1.5563025007672873,8.540254192642164
Tinashe,1586552,9.0,144799346.0,16.0,6.200454310878893,0.9542425094393249,8.160766600333279
