artist_name,was_on_chart,listeners,playcount,total_events,events_last_year,total_chart_streams,chart_weeks,peak_position,first_chart_date,last_chart_date
Tame Impala,True,4217192,399575749,39,,101669810.0,5.0,53.0,2025-10-30,2026-02-26
Tate McRae,True,2217123,268753947,1,,1175241448.0,32.0,1.0,2023-02-23,2026-02-26
The All-American Rejects,False,3254844,85385676,12,,,,,,
The Beach Boys,True,4092436,161836541,20,,39690851.0,2.0,48.0,2023-12-28,2024-12-26
The Beatles,False,6445190,1084445788,9,,,,,,
The Chainsmokers,True,2761881,87205460,3,,375763769.0,27.0,62.0,2023-06-01,2026-02-26
The Cure,True,5427832,387847216,10,,17935722.0,2.0,143.0,2026-01-29,2026-02-26
The Doors,False,4700836,226961962,4,,,,,,
The Goo Goo Dolls,True,2580946,51509967,47,,401231401.0,27.0,12.0,2023-08-31,2026-02-26
The Kid LAROI,True,2447299,158884319,38,,426420216.0,27.0,14.0,2023-02-23,2025-10-30
The Killers,True,6874883,375777822,3,,199006276.0,20.0,50.0,2024-02-01,2026-02-26
The Living Tombstone,False,1290289,51174972,35,,,,,,
The Lumineers,True,2552448,90575392,16,,10870508.0,1.0,82.0,2023-08-31,2023-08-31
The Neighbourhood,True,3887320,384820783,48,,576199049.0,37.0,17.0,2023-02-23,2026-02-26
The Offspring,False,4537431,211987018,9,1.0,,,,,
The Police,True,4539438,109086544,1,,409102953.0,33.0,10.0,2023-06-01,2026-02-26
The Rolling Stones,False,5779078,271177712,1,,,,,,
The Script,True,2948373,74858270,15,,45475135.0,5.0,106.0,2025-08-28,2026-02-26
The Smiths,False,4998810,526469583,3,,,,,,
The Strokes,False,5651179,472079320,7,,,,,,
The Weeknd,True,5233527,1095012174,34,,3466615363.0,37.0,3.0,2023-02-23,2026-02-26
Thee Sacred Souls,False,1162267,28152730,27,,,,,,
Three Days Grace,False,3836042,182135591,47,1.0,,,,,
Thundercat,False,2002717,75151334,9,,,,,,
Tool,False,2591971,226667157,3,,,,,,
Toto,True,3049325,54915267,38,2.0,115588083.0,13.0,108.0,2024-05-30,2026-02-26
Twenty One Pilots,True,3291476,419608422,7,,76836957.0,8.0,57.0,2023-07-27,2026-02-26
Two Door Cinema Club,False,3113351,128187129,10,,,,,,
Ty Dolla $ign,True,1643314,29276948,1,,150724564.0,5.0,3.0,2024-02-29,2024-06-27
"Tyler, The Creator",False,4255100,1027180546,6,,,,,,
V,True,906065,719300435,1,,402601181.0,29.0,31.0,2023-08-31,2026-01-01
Waka Flocka Flame,False,1790840,20330129,10,1.0,,,,,
Wet Leg,False,882417,26619072,21,,,,,,
Willow,False,2298418,73292708,5,,,,,,
Wiz Khalifa,True,3851111,87867946,35,,96927069.0,11.0,85.0,2023-03-30,2026-02-26
Wolf Alice,False,1251269,57112935,16,,,,,,
Yeat,True,1583135,359683948,2,,89067439.0,6.0,15.0,2023-10-26,2024-03-28
ZAYN,True,2214428,116624671,27,,10579763.0,1.0,106.0,2025-10-30,2025-10-30
Zach Bryan,True,1179653,130908934,36,1.0,528536633.0,17.0,20.0,2023-02-23,2024-10-31
Zara Larsson,True,2185312,77760970,44,1.0,139417006.0,4.0,9.0,2025-11-27,2026-02-26
Zedd,False,2556212,60584032,20,1.0,,,,,
bbno$,False,1476522,67048712,36,1.0,,,,,
blink-182,False,4589449,305339793,2,,,,,,
bôa,False,2061842,79579936,2,,,,,,
fakemink,False,436138,55311254,1,,,,,,
i-dle,True,475522,15909899,10,,27341456.0,3.0,110.0,2023-06-01,2023-07-27
sombr,True,1741726,76129357,17,,680729101.0,12.0,2.0,2025-03-27,2026-02-26
t.A.T.u.,False,2200648,48563271,2,,,,,,
