artist_name,total_events,weekend_events,countries,cities,pct_weekend,lead_time_days,touring_status,future_events,pct_future_events,events_last_year,revisit_cities,new_cities,pct_revisit_cities,revisit_ratio,pct_events_revisit,most_visited_city,most_visited_n,capital_events,non_capital_events,pct_capital,capital_ratio,unique_capitals,unique_non_capitals,pct_capital_cities,avg_days_between_shows,top1_share,top3_share,top5_share,hhi,n_tracks,total_track_plays,listeners,playcount,tags
Daniel Caesar,1,1,1,1,100.0,161.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Eau Claire,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,13.24,32.9,45.86,675.6,20.0,165780120.0,2306543,235065056,"rnb, soul, Neo-Soul, Canadian, alternative rnb"
Dave,38,14,1,29,36.84,186.0,active_tour,38,100.0,,8,21,27.59,0.381,44.74,George,3,0.0,38.0,0.0,0.0,0.0,29.0,0.0,4.0,20.53,36.7,48.41,815.0,20.0,50098441.0,1261916,74966173,"french, rap, Grime, Hip-Hop, hip hop"
David Guetta,2,0,2,2,0.0,,active_tour,2,100.0,,0,2,0.0,0.0,0.0,Morrison,1,0.0,2.0,0.0,0.0,0.0,2.0,0.0,58.0,11.38,34.03,50.11,701.9,20.0,88428108.0,5166510,185467361,"House, dance, electronic, club, techno"
Deftones,7,3,5,7,42.86,153.0,active_tour,7,100.0,,0,7,0.0,0.0,0.0,Monterrey,1,2.0,5.0,28.57,0.4,2.0,5.0,28.57,35.2,9.42,28.23,45.41,627.9,20.0,286343884.0,4170076,555748957,"Nu Metal, alternative, metal, alternative rock, alternative metal"
Demi Lovato,23,7,2,23,30.43,,active_tour,23,100.0,,0,23,0.0,0.0,0.0,Denver,1,0.0,23.0,0.0,0.0,0.0,23.0,0.0,2.1,16.33,37.1,51.08,762.8,20.0,81372568.0,3340127,196995434,"pop, pop rock, female vocalists, Disney, guilty pleasure"
Denzel Curry,1,1,1,1,100.0,68.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Lismore,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,15.83,30.01,41.19,657.4,20.0,65977066.0,1609654,153048101,"Hip-Hop, rap, hip hop, Southern Hip Hop, trap"
Destroy Lonely,4,1,3,4,25.0,,active_tour,4,100.0,,0,4,0.0,0.0,0.0,South Padre Island,1,0.0,4.0,0.0,0.0,0.0,4.0,0.0,37.0,13.83,32.88,46.88,696.1,20.0,82471723.0,888189,187462498,"opium, trap, plugg, rap, rage"
Dire Straits,1,1,1,1,100.0,78.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Inverness,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,25.42,45.4,60.32,1073.5,20.0,76639530.0,3493158,113965385,"classic rock, rock, 80s, blues, guitar"
Disclosure,20,5,4,13,25.0,,active_tour,20,100.0,1.0,5,8,38.46,0.625,60.0,Denver,3,0.0,20.0,0.0,0.0,0.0,13.0,0.0,8.9,29.77,48.82,62.83,1283.2,20.0,44290763.0,2442046,74055076,"electronic, UK Garage, House, future garage, dubstep"
Djo,24,11,3,14,45.83,137.0,active_tour,24,100.0,,9,5,64.29,1.8,79.17,San Francisco,3,0.0,24.0,0.0,0.0,0.0,14.0,0.0,6.0,44.71,60.56,68.9,2235.3,20.0,72879051.0,2263774,88074350,"psychedelic pop, indie pop, indie, psychedelic, indie rock"
Doja Cat,41,10,8,41,24.39,169.0,active_tour,41,100.0,,0,41,0.0,0.0,0.0,Denver,1,5.0,36.0,12.2,0.139,5.0,36.0,12.2,6.4,9.7,25.79,38.89,592.2,20.0,290831943.0,3566631,457289791,"pop, rnb, rap, Hip-Hop, hip hop"
Dominic Fike,13,4,2,11,30.77,110.0,active_tour,13,100.0,,2,9,18.18,0.222,30.77,Seattle,2,0.0,13.0,0.0,0.0,0.0,11.0,0.0,13.7,20.74,39.46,52.12,875.4,20.0,99952771.0,2348884,143797683,"indie, indie pop, pop, alternative, american"
Don Toliver,35,11,3,34,31.43,128.0,active_tour,35,100.0,,1,33,2.94,0.03,5.71,Los Angeles,2,0.0,35.0,0.0,0.0,0.0,34.0,0.0,3.5,11.64,31.19,44.95,683.7,20.0,133823527.0,2447590,256998947,"rap, trap, Hip-Hop, rnb, texas"
Drake,12,4,1,11,33.33,208.0,active_tour,12,100.0,,1,10,9.09,0.1,16.67,Alpharetta,2,0.0,12.0,0.0,0.0,0.0,11.0,0.0,8.9,8.68,24.32,34.83,578.4,20.0,253230975.0,6651918,1130963196,"Hip-Hop, rap, rnb, hip hop, Canadian"
Duran Duran,7,2,3,4,28.57,100.0,active_tour,7,100.0,,1,3,25.0,0.333,57.14,Las Vegas,4,0.0,7.0,0.0,0.0,0.0,4.0,0.0,9.0,13.01,31.31,43.54,785.0,20.0,45793929.0,3134668,75299100,"new wave, 80s, pop, synth pop, rock"
Eagles,9,5,1,4,55.56,118.0,active_tour,9,100.0,,1,3,25.0,0.333,66.67,Las Vegas,6,0.0,9.0,0.0,0.0,0.0,4.0,0.0,7.1,27.43,53.14,61.35,1279.1,20.0,48184664.0,3793946,78239912,"classic rock, rock, 70s, soft rock, country"
"Earth, Wind & Fire",47,16,3,44,34.04,,active_tour,47,100.0,,3,41,6.82,0.073,12.77,Reno,2,0.0,47.0,0.0,0.0,0.0,44.0,0.0,3.8,41.32,71.1,78.9,2244.3,20.0,40973555.0,2914538,48295805,"funk, soul, Disco, 70s, rnb"
Ed Sheeran,28,19,3,23,67.86,235.0,active_tour,28,100.0,,4,19,17.39,0.211,32.14,Toronto,3,1.0,27.0,3.57,0.037,1.0,22.0,4.35,6.3,8.96,25.99,40.87,582.4,20.0,131505598.0,4165203,252909055,"acoustic, british, singer-songwriter, pop, easy-listening"
Electric Light Orchestra,8,1,1,8,12.5,306.0,active_tour,8,100.0,1.0,0,8,0.0,0.0,0.0,Nashville,1,0.0,8.0,0.0,0.0,0.0,8.0,0.0,4.1,27.04,47.64,63.11,1187.7,20.0,48541375.0,2947864,76067697,"classic rock, Progressive rock, rock, 70s, british"
Elton John,1,0,1,1,0.0,230.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Quebec,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,14.19,33.07,49.8,777.8,20.0,99239641.0,5175290,161207584,"pop, classic rock, singer-songwriter, rock, piano"
Eminem,2,1,1,2,50.0,213.0,active_tour,2,100.0,,0,2,0.0,0.0,0.0,Norwich ,1,1.0,1.0,50.0,1.0,1.0,1.0,50.0,22.0,10.68,26.93,41.07,600.9,20.0,194502259.0,7731247,561758682,"rap, Hip-Hop, hip hop, Eminem, pop"
Empire of the Sun,11,4,6,9,36.36,189.0,active_tour,11,100.0,,1,8,11.11,0.125,27.27,San Francisco,3,2.0,9.0,18.18,0.222,2.0,7.0,22.22,7.0,32.12,68.48,79.42,2025.9,20.0,67618161.0,2990884,76948528,"electronic, synthpop, australian, electronica, synth pop"
EsDeeKid,4,1,4,4,25.0,310.0,active_tour,4,100.0,,0,4,0.0,0.0,0.0,London,1,1.0,3.0,25.0,0.333,1.0,3.0,25.0,35.7,,,,,,,883871,55398605,"cloud rap, trap, Jerk, rap, british"
