artist,listeners,in_chart,chart_weeks,total_streams,best_position
Hotel Ugly,1868622,True,24.0,229623439.0,82.0
Hearts2Hearts,317554,False,0.0,0.0,
The Sundays,1297121,False,0.0,0.0,
Dire Straits,3489758,False,0.0,0.0,
Fiona Apple,2701393,False,0.0,0.0,
j-hope,1016741,True,8.0,120599442.0,25.0
Dave,1257297,True,12.0,195428899.0,11.0
Slayyyter,783468,False,0.0,0.0,
Mother Mother,1902369,False,0.0,0.0,
Fetty Wap,1668347,True,1.0,11018120.0,92.0
Soundgarden,3283785,False,0.0,0.0,
Jamiroquai,2853958,False,0.0,0.0,
Massive Attack,3825546,False,0.0,0.0,
A Boogie wit da Hoodie,1426412,True,2.0,23422630.0,29.0
fakemink,436138,False,0.0,0.0,
Khalid,2271778,True,35.0,337155070.0,94.0
Sam Smith,3049190,True,10.0,155461757.0,7.0
America,2107097,False,0.0,0.0,
NMIXX,722228,False,0.0,0.0,
Nickelback,4322864,False,0.0,0.0,
Avenged Sevenfold,2842970,False,0.0,0.0,
Clean Bandit,2514159,False,0.0,0.0,
Queens of the Stone Age,3709970,False,0.0,0.0,
Bladee,954990,False,0.0,0.0,
VACATIONS,1859656,False,0.0,0.0,
Julia Wolf,557762,False,0.0,0.0,
Disclosure,2438802,False,0.0,0.0,
Eyedress,2173432,False,0.0,0.0,
Alex Warren,921253,True,14.0,483662424.0,1.0
Timbaland,3517672,True,6.0,59449833.0,150.0
Suki Waterhouse,1716668,False,0.0,0.0,
Labi Siffre,969389,False,0.0,0.0,
Avicii,3312458,True,8.0,67811269.0,131.0
Lord Huron,2271718,True,32.0,503541967.0,15.0
Major Lazer,2931057,True,1.0,9840618.0,126.0
Creedence Clearwater Revival,4045557,True,15.0,161430496.0,90.0
Title Fight,1168829,False,0.0,0.0,
Daddy Yankee,2200125,True,3.0,37421765.0,52.0
Bee Gees,3401162,False,0.0,0.0,
Zedd,2556212,False,0.0,0.0,
Sia,4361667,True,12.0,228004928.0,9.0
Destroy Lonely,886732,False,0.0,0.0,
