artist_name,total_events,revisit_cities,new_cities,pct_revisit_cities,revisit_ratio,pct_events_revisit,most_visited_city,most_visited_n,listeners
Slowdive,4,1,2,33.33,0.5,50.0,Praha 9,2,2185123
Snow Strippers,7,1,4,20.0,0.25,42.86,San Francisco,3,856486
Steely Dan,1,0,1,0.0,0.0,0.0,Lakewood,1,1750392
Stevie Wonder,4,1,0,100.0,,100.0,London,4,3922898
Stone Temple Pilots,37,0,37,0.0,0.0,0.0,Sacramento,1,2472644
Stray Kids,1,0,1,0.0,0.0,0.0,Queens,1,1326751
Sublime,14,1,12,7.69,0.083,14.29,Morrison,2,3084498
Summer Walker,20,1,18,5.26,0.056,10.0,London,2,1712509
Swedish House Mafia,3,1,1,50.0,1.0,66.67,Göteborg,2,2685269
System of a Down,11,3,5,37.5,0.6,54.55,Ciudad de México,2,5765717
TV Girl,4,1,0,100.0,,100.0,Belfast,2,2789829
TWICE,19,6,7,46.15,0.857,63.16,Amsterdam,2,1872716
Tame Impala,39,9,21,30.0,0.429,46.15,Charlotte,2,4226868
Tate McRae,1,0,1,0.0,0.0,0.0,Montreal,1,2221088
The All-American Rejects,12,1,9,10.0,0.111,25.0,Derby,3,3260009
The Beach Boys,20,1,18,5.26,0.056,10.0,Niagara Falls,2,4094817
The Beatles,9,0,9,0.0,0.0,0.0,Grimsby,1,6449944
The Chainsmokers,3,1,1,50.0,1.0,66.67,Las Vegas,2,2767530
The Cure,10,1,8,11.11,0.125,20.0,Newport,2,5433994
The Doors,4,0,4,0.0,0.0,0.0,Atlantic City,1,4703698
The Goo Goo Dolls,47,1,42,2.33,0.024,10.64,Las Vegas,5,2587117
The Kid LAROI,38,3,32,8.57,0.094,15.79,Brooklyn,2,2450707
The Killers,3,1,1,50.0,1.0,66.67,Monterrey,2,6880361
The Living Tombstone,35,2,31,6.06,0.065,11.43,Birmingham,2,1293870
The Lumineers,16,2,12,14.29,0.167,25.0,Werchter,2,2554754
The Neighbourhood,48,9,30,23.08,0.3,37.5,Ciudad de México,2,3893018
The Offspring,8,0,8,0.0,0.0,0.0,Sölvesborg,1,4540923
The Police,1,0,1,0.0,0.0,0.0,Thousand Oaks,1,4544618
The Rolling Stones,1,0,1,0.0,0.0,0.0,San Leandro,1,5782594
The Script,15,5,2,71.43,2.5,86.67,Manchester,4,2951543
The Smiths,3,0,3,0.0,0.0,0.0,London,1,5004043
The Strokes,7,1,3,25.0,0.333,57.14,San Francisco,4,5655332
Thee Sacred Souls,27,1,25,3.85,0.04,7.41,Los Angeles,2,1165543
Three Days Grace,45,1,43,2.27,0.023,4.44,St. John's,2,3841004
Thundercat,9,2,5,28.57,0.4,44.44,Bristol,2,2007717
Tool,3,0,3,0.0,0.0,0.0,Sacramento,1,2594673
Toto,36,0,36,0.0,0.0,0.0,Peoria,1,3052684
Twenty One Pilots,7,1,5,16.67,0.2,28.57,Werchter,2,3298550
Two Door Cinema Club,10,1,8,11.11,0.125,20.0,Newport,2,3116358
Ty Dolla $ign,1,0,1,0.0,0.0,0.0,Morrison,1,1647835
"Tyler, The Creator",6,2,2,50.0,1.0,66.67,London,2,4260131
U2,2,0,2,0.0,0.0,0.0,San Juan Capistrano,1,5008787
V,1,0,1,0.0,0.0,0.0,New York City,1,907480
Waka Flocka Flame,8,0,8,0.0,0.0,0.0,Fort Worth,1,1795475
Wet Leg,21,4,12,25.0,0.333,42.86,San Francisco,3,887225
