artist_name,track_name,rank,playcount
Chappell Roan,Kaleidoscope,15,6166279
Chappell Roan,California,16,6305611
Chappell Roan,Guilty Pleasure,17,5095428
Chappell Roan,Love Me Anyway,18,3760729
Chappell Roan,School Nights,19,866215
Chappell Roan,Good Hurt,20,577939
Doja Cat,Kiss Me More (feat. SZA),1,28423398
Doja Cat,Woman,2,25048864
Doja Cat,Streets,3,22140333
Doja Cat,Need to Know,4,23240356
Doja Cat,Say So,5,15095563
Doja Cat,You Right,6,17282983
Doja Cat,Paint the Town Red,7,16927964
Doja Cat,Ain't Shit,8,15158805
Doja Cat,Agora Hills,9,20786410
Doja Cat,Get Into It (Yuh),10,14556393
Doja Cat,Boss Bitch,11,12321697
Doja Cat,So High,12,12331120
Doja Cat,Candy,13,9687317
Doja Cat,Rules,14,12162197
Doja Cat,Like That (feat. Gucci Mane),15,8340090
Doja Cat,Tia Tamera (feat. Rico Nasty),16,8900578
Doja Cat,Juicy,17,8353876
Doja Cat,Been Like This,18,9483229
Doja Cat,Freak,19,5918474
Doja Cat,Cyber Sex,20,7233953
BTS,Dynamite,1,173756636
BTS,Boy With Luv (feat. Halsey),2,77332719
BTS,Butter,3,145934839
BTS,FAKE LOVE,4,127705255
BTS,DNA,5,44775238
BTS,Blood Sweat & Tears,6,30485729
BTS,I NEED U,7,19398402
BTS,IDOL,8,36887100
BTS,Black Swan,9,36113059
BTS,Spring Day,10,24954637
BTS,Pied Piper,11,17918301
BTS,Euphoria,12,36943438
BTS,Dimple,13,18490306
BTS,RUN,14,17464511
BTS,ON,15,36038828
BTS,Run BTS,16,46601749
BTS,Dope,17,14029340
BTS,Life Goes On,18,154919010
BTS,HOME,19,24599312
BTS,Save ME,20,12799979
Don Toliver,No Idea,1,15735914
Don Toliver,No Pole,2,17033195
Don Toliver,After Party,3,9604874
Don Toliver,BANDIT,4,10704328
Don Toliver,Cardigan,5,7882250
Don Toliver,NEW DROP,6,8354276
Don Toliver,Private Landing (feat. Justin Bieber & Future),7,7742288
Don Toliver,TORE UP,8,10244923
Don Toliver,You (feat. Travis Scott),9,6827146
Don Toliver,Had Enough (feat. Quavo & Offset),10,6374597
Don Toliver,Drugs N Hella Melodies (feat. Kali Uchis),11,5123515
Don Toliver,Tiramisu,12,3567003
Don Toliver,Embarrassed (feat. Travis Scott),13,5138863
Don Toliver,BROTHER STONE (FEAT. KODAK BLACK),14,3774141
Don Toliver,E85,15,2720530
Don Toliver,Lose My Mind (feat. Doja Cat) [From F1® The Movie],16,3379127
Don Toliver,Body,17,2102406
Don Toliver,KRYPTONITE,18,3639736
Don Toliver,Flocky Flocky (feat. Travis Scott),19,3471331
Don Toliver,ATTITUDE (FEAT. CHARLIE WILSON & CASH COBAIN),20,2692561
Fleetwood Mac,Dreams - 2004 Remaster,1,27424677
Fleetwood Mac,The Chain - 2004 Remaster,2,21984198
Fleetwood Mac,Landslide,3,15184713
Fleetwood Mac,Rhiannon,4,11510382
Fleetwood Mac,Everywhere - 2017 Remaster,5,10508752
Fleetwood Mac,Go Your Own Way - 2004 Remaster,6,9458832
Fleetwood Mac,Gypsy,7,7463103
Fleetwood Mac,Dreams,8,6901321
Fleetwood Mac,Go Your Own Way,9,6377608
Fleetwood Mac,Silver Springs - 2004 Remaster,10,11647055
Fleetwood Mac,Everywhere,11,5085117
Fleetwood Mac,Little Lies - 2017 Remaster,12,5749851
Fleetwood Mac,Never Going Back Again - 2004 Remaster,13,5244616
Fleetwood Mac,Don't Stop - 2004 Remaster,14,4065761
Fleetwood Mac,You Make Loving Fun - 2004 Remaster,15,4849807
Fleetwood Mac,Little Lies,16,4197481
Fleetwood Mac,The Chain,17,4511067
Fleetwood Mac,Don't Stop,18,3135989
Fleetwood Mac,Say You Love Me,19,3074587
Fleetwood Mac,You Make Loving Fun,20,2632098
Mitski,My Love Mine All Mine,1,49664632
Mitski,Washing Machine Heart,2,35324473
Mitski,I Bet on Losing Dogs,3,32021411
Mitski,Nobody,4,23164233
Mitski,Francis Forever,5,24889990
Mitski,First Love/Late Spring,6,18958603
Mitski,Me and My Husband,7,19087489
Mitski,A Pearl,8,17108598
Mitski,Liquid Smooth,9,16607151
Mitski,I Want You,10,16879341
Mitski,Your Best American Girl,11,14792382
Mitski,Once More to See You,12,13343962
Mitski,Last Words of a Shooting Star,13,11491635
Mitski,A Burning Hill,14,10531215
Mitski,Brand New City,15,12418231
Mitski,Strawberry Blond,16,7866539
Mitski,Pink in the Night,17,9692374
Mitski,Why Didn't You Stop Me?,18,8622042
Mitski,Class of 2013,19,9130338
Mitski,I Don't Smoke,20,8180336
beabadoobee,the perfect pair,1,29401830
beabadoobee,Glue Song,2,19620698
beabadoobee,the way things go,3,14041512
beabadoobee,Glue Song (feat. Clairo),4,10110151
beabadoobee,Apple Cider,5,13054450
beabadoobee,A Night To Remember,6,11503504
beabadoobee,real man,7,11224807
